,carpet_area,bedrooms,bathrooms,car_parking,furnishing,transaction_type,floor,total_floors,price,lat,long,facing_code
63,560.0,2.0,2,0,2,0.0,7.0,8.0,1.6,19.250059127807614,72.84921264648438,4
64,560.0,2.0,2,0,1,0.0,8.0,10.0,1.6,19.250059127807614,72.84921264648438,5
65,1100.0,3.0,2,1,2,1.0,20.0,43.0,3.25,19.03731,72.87871,0
66,620.0,2.0,2,1,2,0.0,13.0,14.0,2.18,19.0227398,72.86865379999999,6
67,1034.0,3.0,3,2,1,0.0,10.0,60.0,2.47,19.2248756,72.86314300000001,0
68,740.0,2.0,2,0,1,1.0,35.0,40.0,1.8,19.205001831054688,72.86927032470703,7
69,600.0,2.0,2,0,2,1.0,5.0,15.0,0.453,19.46649026,72.79609187,7
70,975.0,2.0,3,0,1,1.0,7.0,9.0,3.0,19.0531452,72.902321,2
71,478.0,1.0,2,0,1,1.0,2.0,12.0,0.295,19.469890594482425,72.7994155883789,7
72,855.0,3.0,3,1,3,0.0,4.0,7.0,2.0,19.162992477416992,72.83930206298828,1
73,420.0,1.0,2,0,1,0.0,9.0,18.0,1.1,19.162992477416992,72.83930206298828,1
76,406.0,1.0,2,1,2,1.0,10.0,23.0,0.297,19.366140365600586,72.85953521728516,7
77,535.0,2.0,2,0,2,1.0,7.0,13.0,0.388,19.4705677,72.80081407,1
78,600.0,2.0,2,1,1,0.0,7.0,19.0,1.7,19.140793043201,72.8367363728463,1
79,500.0,1.0,2,0,2,0.0,6.0,7.0,2.0,19.05522918701172,72.83082580566406,7
89,1300.0,3.0,4,0,2,0.0,16.0,20.0,6.75,19.05522918701172,72.83082580566406,7
90,1360.0,3.0,5,0,1,1.0,6.0,22.0,7.75,19.07137680053711,72.84022521972656,7
91,630.0,2.0,2,0,3,0.0,2.0,8.0,1.4,19.210841000000002,72.8755987441594,5
92,700.0,2.0,2,1,2,0.0,9.0,14.0,2.18,19.0227398,72.86865379999999,0
93,1100.0,3.0,3,0,1,0.0,24.0,36.0,3.8,19.025238203462397,72.8670149641765,7
95,2200.0,4.0,6,0,1,1.0,45.0,68.0,11.0,19.015830993652344,72.82939147949219,7
99,2500.0,4.0,5,0,1,1.0,17.0,33.0,11.0,19.129737854003906,72.82915496826172,7
100,320.0,2.0,2,8,1,1.0,5.0,14.0,0.9,19.136736,72.822532,7
102,780.0,2.0,2,0,1,1.0,4.0,11.0,1.35,19.1161491,72.8844877,0
103,1234.0,3.0,3,1,2,1.0,29.0,50.0,4.0,18.99331,72.847938,0
109,463.0,1.0,2,0,1,0.0,14.0,20.0,0.88,19.156887899999997,72.9406028,0
110,425.0,1.0,2,0,1,1.0,7.0,7.0,2.0,19.1630508890225,72.83660389441891,1
111,850.0,2.0,3,0,2,1.0,10.0,66.0,7.0,18.945724487304688,72.82376098632812,7
112,1500.0,3.0,3,2,2,0.0,7.0,31.0,8.6,19.011429999999997,72.830312,3
113,1000.0,2.0,2,2,1,0.0,10.0,28.0,4.5,18.9713471584846,72.8402257834657,7
114,482.0,1.0,1,1,1,1.0,3.0,7.0,1.35,19.129737854003906,72.82915496826172,0
115,988.0,3.0,3,0,2,1.0,10.0,15.0,1.35,19.280212,72.884079,2
116,413.0,1.0,2,1,1,1.0,5.0,20.0,0.5329999999999999,19.273876,72.880675,2
117,620.0,2.0,2,1,1,1.0,9.0,17.0,0.79,19.265946,72.880409,2
118,630.0,2.0,2,1,1,1.0,9.0,20.0,0.797,19.273876,72.880675,2
119,430.0,1.0,2,1,1,1.0,9.0,17.0,0.575,19.26654463,72.87938079,2
120,450.0,1.0,2,1,1,1.0,9.0,23.0,0.5920000000000001,19.266063100000004,72.87120786,1
121,620.0,2.0,2,1,1,1.0,9.0,23.0,0.778,19.266063100000004,72.87120786,2
122,474.0,1.0,2,0,2,1.0,19.0,22.0,0.5479999999999999,19.283329199999997,72.8589183,2
123,1050.0,3.0,3,3,3,0.0,30.0,36.0,2.9,19.17450806,72.83458096,7
124,487.0,1.0,2,1,2,1.0,2.0,22.0,0.63,19.2884786,72.87791126,2
126,410.0,1.0,1,1,2,0.0,5.0,7.0,1.45,19.0227398,72.86865379999999,7
131,897.0,3.0,2,0,1,1.0,20.0,28.0,2.23,19.214379,72.87259,0
132,900.0,3.0,3,1,2,0.0,7.0,16.0,2.85,19.0227398,72.86865379999999,0
135,2100.0,4.0,6,0,3,0.0,7.0,12.0,19.0,19.108097076416016,72.83226013183594,7
136,805.0,2.0,2,1,1,0.0,7.0,36.0,1.85,19.156582524226803,72.938552,1
137,480.0,1.0,1,1,2,0.0,10.0,19.0,0.86,19.180321,72.837298,2
138,840.0,2.0,2,1,2,0.0,4.0,8.0,1.31,19.212808600000002,72.833888,1
139,750.0,2.0,2,3,2,1.0,1.0,14.0,0.67,19.282769000000002,72.859789,0
